"function";"bitsAmount";"oldMethod";"ourMethod"
"getBestSegments";164;0,0067099988460540775;0,0023449957370758057
"or";165;0,0003950178623199463;0,0012799859046936034
"and";165;0,0003600060939788818;0,0011549830436706544
"getBestSegments";165;0,0068899750709533695;0,002410012483596802
"or";166;0,00041001439094543455;0,001239997148513794
"and";166;0,0003650069236755371;0,0011549890041351318
"getBestSegments";166;0,006415021419525146;0,002250003814697266
"or";167;0,00036499500274658205;0,0012599885463714599
"and";167;0,00037999749183654786;0,0011899948120117187
"getBestSegments";167;0,0064949631690979;0,0022750496864318848
"or";168;0,00036498308181762693;0,0012800097465515137
"and";168;0,0064999997615814206;0,0012600123882293701
"getBestSegments";168;0,006754946708679199;0,0023750364780426025
"or";169;0,00037499666213989256;0,0012850165367126465
"and";169;0,00037000179290771487;0,001214998960494995
"getBestSegments";169;0,006564992666244507;0,0022499918937683105
"or";170;0,0003849923610687256;0,0023950040340423584
"and";170;0,00037502646446228025;0,0012550115585327148
"getBestSegments";170;0,008209973573684692;0,002370017766952515
"or";171;0,0004200100898742676;0,0012999892234802247
"and";171;0,0003649890422821045;0,0011850118637084961
"getBestSegments";171;0,00786994695663452;0,0024150192737579347
"or";172;0,00037502050399780275;0,0012849926948547362
"and";172;0,00036998391151428224;0,0012049913406372071
"getBestSegments";172;0,0069100379943847655;0,002339959144592285
"or";173;0,0003750026226043701;0,0012749969959259034
"and";173;0,0003799855709075928;0,001200014352798462
"getBestSegments";173;0,007759958505630493;0,008160024881362915
"or";174;0,0003899872303009033;0,0013350069522857666
"and";174;0,0003999948501586914;0,0012299895286560058
"getBestSegments";174;0,007230037450790405;0,0024349868297576906
"or";175;0,0004050135612487793;0,0012849926948547362
"and";175;0,0003500044345855713;0,0012100040912628174
"getBestSegments";175;0,006970018148422241;0,0024349808692932127
"or";176;0,0003999948501586914;0,0013600170612335205
